(buy(1013)) --> (buy(104)), {C=0.09615384615384616, S=0.00048633401420095323}
(buy(1013)) --> (buy(231)), {C=0.11538461538461538, S=0.0005836008170411438}
(buy(1013)) --> (buy(403)), {C=0.09615384615384616, S=0.00048633401420095323}
(buy(1013)) --> (buy(510)), {C=0.09615384615384616, S=0.00048633401420095323}
(buy(1013)) --> (buy(580)), {C=0.11538461538461538, S=0.0005836008170411438}
(buy(1013)) --> (buy(617)), {C=0.09615384615384616, S=0.00048633401420095323}
(buy(1013)) --> (buy(813)), {C=0.1346153846153846, S=0.0006808676198813345}
(buy(1013)) --> (buy(856)), {C=0.11538461538461538, S=0.0005836008170411438}
(buy(1013)) --> (buy(903)), {C=0.11538461538461538, S=0.0005836008170411438}
(buy(1013)) --> (buy(934)), {C=0.09615384615384616, S=0.00048633401420095323}
(buy(1013)) --> (buy(1036)), {C=0.11538461538461538, S=0.0005836008170411438}
(buy(1013)) --> (buy(1086)), {C=0.11538461538461538, S=0.0005836008170411438}
(buy(1013)) --> (buy(1206)), {C=0.09615384615384616, S=0.00048633401420095323}
(buy(1013)) --> (buy(1296)), {C=0.11538461538461538, S=0.0005836008170411438}
(buy(1013)) --> (buy(1360)), {C=0.09615384615384616, S=0.00048633401420095323}
(buy(1013)) --> (buy(1433)), {C=0.11538461538461538, S=0.0005836008170411438}
(buy(1013)) --> (buy(1539)), {C=0.09615384615384616, S=0.00048633401420095323}
(buy(1013)) --> (buy(1550)), {C=0.09615384615384616, S=0.00048633401420095323}
