(buy(600)) --> (buy(379)), {C=0.08620689655172414, S=0.00048633401420095323}
(buy(600)) --> (buy(463)), {C=0.10344827586206895, S=0.0005836008170411438}
(buy(600)) --> (buy(504)), {C=0.08620689655172414, S=0.00048633401420095323}
(buy(600)) --> (buy(523)), {C=0.08620689655172414, S=0.00048633401420095323}
(buy(600)) --> (buy(650)), {C=0.08620689655172414, S=0.00048633401420095323}
(buy(600)) --> (buy(839)), {C=0.08620689655172414, S=0.00048633401420095323}
(buy(600)) --> (buy(872)), {C=0.08620689655172414, S=0.00048633401420095323}
(buy(600)) --> (buy(883)), {C=0.08620689655172414, S=0.00048633401420095323}
(buy(600)) --> (buy(982)), {C=0.08620689655172414, S=0.00048633401420095323}
(buy(600)) --> (buy(1000)), {C=0.08620689655172414, S=0.00048633401420095323}
(buy(600)) --> (buy(1326)), {C=0.08620689655172414, S=0.00048633401420095323}
(buy(600)) --> (buy(1503)), {C=0.10344827586206895, S=0.0005836008170411438}
(buy(600)) --> (buy(1555)), {C=0.08620689655172414, S=0.00048633401420095323}
