(buy(1222)) --> (buy(17)), {C=0.07936507936507937, S=0.00048633401420095323}
(buy(1222)) --> (buy(34)), {C=0.1111111111111111, S=0.0006808676198813345}
(buy(1222)) --> (buy(159)), {C=0.07936507936507937, S=0.00048633401420095323}
(buy(1222)) --> (buy(417)), {C=0.07936507936507937, S=0.00048633401420095323}
(buy(1222)) --> (buy(536)), {C=0.07936507936507937, S=0.00048633401420095323}
(buy(1222)) --> (buy(554)), {C=0.07936507936507937, S=0.00048633401420095323}
(buy(1222)) --> (buy(606)), {C=0.09523809523809523, S=0.0005836008170411438}
(buy(1222)) --> (buy(611)), {C=0.07936507936507937, S=0.00048633401420095323}
(buy(1222)) --> (buy(613)), {C=0.07936507936507937, S=0.00048633401420095323}
(buy(1222)) --> (buy(760)), {C=0.07936507936507937, S=0.00048633401420095323}
(buy(1222)) --> (buy(806)), {C=0.07936507936507937, S=0.00048633401420095323}
(buy(1222)) --> (buy(933)), {C=0.07936507936507937, S=0.00048633401420095323}
(buy(1222)) --> (buy(962)), {C=0.07936507936507937, S=0.00048633401420095323}
(buy(1222)) --> (buy(1068)), {C=0.07936507936507937, S=0.00048633401420095323}
(buy(1222)) --> (buy(1072)), {C=0.07936507936507937, S=0.00048633401420095323}
(buy(1222)) --> (buy(1166)), {C=0.07936507936507937, S=0.00048633401420095323}
(buy(1222)) --> (buy(1199)), {C=0.07936507936507937, S=0.00048633401420095323}
(buy(1222)) --> (buy(1372)), {C=0.07936507936507937, S=0.00048633401420095323}
(buy(1222)) --> (buy(1428)), {C=0.07936507936507937, S=0.00048633401420095323}
(buy(1222)) --> (buy(1438)), {C=0.09523809523809523, S=0.0005836008170411438}
