(buy(1346)) --> (buy(9)), {C=0.11538461538461538, S=0.0005836008170411438}
(buy(1346)) --> (buy(497)), {C=0.09615384615384616, S=0.00048633401420095323}
(buy(1346)) --> (buy(546)), {C=0.09615384615384616, S=0.00048633401420095323}
(buy(1346)) --> (buy(630)), {C=0.09615384615384616, S=0.00048633401420095323}
(buy(1346)) --> (buy(830)), {C=0.11538461538461538, S=0.0005836008170411438}
(buy(1346)) --> (buy(1069)), {C=0.09615384615384616, S=0.00048633401420095323}
(buy(1346)) --> (buy(1080)), {C=0.09615384615384616, S=0.00048633401420095323}
(buy(1346)) --> (buy(1113)), {C=0.11538461538461538, S=0.0005836008170411438}
(buy(1346)) --> (buy(1319)), {C=0.09615384615384616, S=0.00048633401420095323}
