(buy(426)) --> (buy(176)), {C=0.06756756756756757, S=0.00048633401420095323}
(buy(426)) --> (buy(326)), {C=0.06756756756756757, S=0.00048633401420095323}
(buy(426)) --> (buy(349)), {C=0.06756756756756757, S=0.00048633401420095323}
(buy(426)) --> (buy(422)), {C=0.08108108108108107, S=0.0005836008170411438}
(buy(426)) --> (buy(565)), {C=0.06756756756756757, S=0.00048633401420095323}
(buy(426)) --> (buy(588)), {C=0.06756756756756757, S=0.00048633401420095323}
(buy(426)) --> (buy(609)), {C=0.09459459459459459, S=0.0006808676198813345}
(buy(426)) --> (buy(642)), {C=0.08108108108108107, S=0.0005836008170411438}
(buy(426)) --> (buy(907)), {C=0.06756756756756757, S=0.00048633401420095323}
(buy(426)) --> (buy(915)), {C=0.06756756756756757, S=0.00048633401420095323}
(buy(426)) --> (buy(998)), {C=0.06756756756756757, S=0.00048633401420095323}
(buy(426)) --> (buy(1046)), {C=0.06756756756756757, S=0.00048633401420095323}
(buy(426)) --> (buy(1241)), {C=0.10810810810810811, S=0.0007781344227215252}
(buy(426)) --> (buy(1329)), {C=0.06756756756756757, S=0.00048633401420095323}
(buy(426)) --> (buy(1452)), {C=0.06756756756756757, S=0.00048633401420095323}
(buy(426)) --> (buy(1497)), {C=0.08108108108108107, S=0.0005836008170411438}
