(buy(496)) --> (buy(85)), {C=0.10416666666666669, S=0.00048633401420095323}
(buy(496)) --> (buy(163)), {C=0.14583333333333334, S=0.0006808676198813345}
(buy(496)) --> (buy(413)), {C=0.14583333333333334, S=0.0006808676198813345}
(buy(496)) --> (buy(504)), {C=0.10416666666666669, S=0.00048633401420095323}
(buy(496)) --> (buy(941)), {C=0.10416666666666669, S=0.00048633401420095323}
(buy(496)) --> (buy(1006)), {C=0.10416666666666669, S=0.00048633401420095323}
(buy(496)) --> (buy(1045)), {C=0.125, S=0.0005836008170411438}
(buy(496)) --> (buy(1445)), {C=0.125, S=0.0005836008170411438}
(buy(496)) --> (buy(1465)), {C=0.10416666666666669, S=0.00048633401420095323}
(buy(496)) --> (buy(1554)), {C=0.125, S=0.0005836008170411438}
