(buy(360)) --> (buy(17)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(360)) --> (buy(260)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(360)) --> (buy(283)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(360)) --> (buy(433)), {C=0.09836065573770492, S=0.0005836008170411438}
(buy(360)) --> (buy(527)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(360)) --> (buy(548)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(360)) --> (buy(593)), {C=0.09836065573770492, S=0.0005836008170411438}
(buy(360)) --> (buy(830)), {C=0.09836065573770492, S=0.0005836008170411438}
(buy(360)) --> (buy(837)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(360)) --> (buy(1036)), {C=0.09836065573770492, S=0.0005836008170411438}
(buy(360)) --> (buy(1055)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(360)) --> (buy(1123)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(360)) --> (buy(1286)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(360)) --> (buy(1301)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(360)) --> (buy(1407)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(360)) --> (buy(1536)), {C=0.0819672131147541, S=0.00048633401420095323}
