(buy(908)) --> (buy(349)), {C=0.08823529411764705, S=0.0005836008170411438}
(buy(908)) --> (buy(415)), {C=0.07352941176470588, S=0.00048633401420095323}
(buy(908)) --> (buy(419)), {C=0.07352941176470588, S=0.00048633401420095323}
(buy(908)) --> (buy(422)), {C=0.07352941176470588, S=0.00048633401420095323}
(buy(908)) --> (buy(440)), {C=0.07352941176470588, S=0.00048633401420095323}
(buy(908)) --> (buy(519)), {C=0.08823529411764705, S=0.0005836008170411438}
(buy(908)) --> (buy(567)), {C=0.07352941176470588, S=0.00048633401420095323}
(buy(908)) --> (buy(592)), {C=0.07352941176470588, S=0.00048633401420095323}
(buy(908)) --> (buy(593)), {C=0.07352941176470588, S=0.00048633401420095323}
(buy(908)) --> (buy(746)), {C=0.07352941176470588, S=0.00048633401420095323}
(buy(908)) --> (buy(825)), {C=0.07352941176470588, S=0.00048633401420095323}
(buy(908)) --> (buy(874)), {C=0.07352941176470588, S=0.00048633401420095323}
(buy(908)) --> (buy(948)), {C=0.07352941176470588, S=0.00048633401420095323}
(buy(908)) --> (buy(1014)), {C=0.07352941176470588, S=0.00048633401420095323}
(buy(908)) --> (buy(1384)), {C=0.11764705882352942, S=0.0007781344227215252}
(buy(908)) --> (buy(1391)), {C=0.07352941176470588, S=0.00048633401420095323}
(buy(908)) --> (buy(1434)), {C=0.07352941176470588, S=0.00048633401420095323}
(buy(908)) --> (buy(1456)), {C=0.07352941176470588, S=0.00048633401420095323}
