(buy(312)) --> (buy(29)), {C=0.08955223880597014, S=0.0005836008170411438}
(buy(312)) --> (buy(67)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(312)) --> (buy(89)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(312)) --> (buy(202)), {C=0.1044776119402985, S=0.0006808676198813345}
(buy(312)) --> (buy(350)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(312)) --> (buy(429)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(312)) --> (buy(498)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(312)) --> (buy(501)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(312)) --> (buy(532)), {C=0.08955223880597014, S=0.0005836008170411438}
(buy(312)) --> (buy(605)), {C=0.08955223880597014, S=0.0005836008170411438}
(buy(312)) --> (buy(623)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(312)) --> (buy(691)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(312)) --> (buy(722)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(312)) --> (buy(746)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(312)) --> (buy(800)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(312)) --> (buy(839)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(312)) --> (buy(880)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(312)) --> (buy(928)), {C=0.08955223880597014, S=0.0005836008170411438}
(buy(312)) --> (buy(931)), {C=0.08955223880597014, S=0.0005836008170411438}
(buy(312)) --> (buy(934)), {C=0.1044776119402985, S=0.0006808676198813345}
(buy(312)) --> (buy(952)), {C=0.1044776119402985, S=0.0006808676198813345}
(buy(312)) --> (buy(955)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(312)) --> (buy(966)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(312)) --> (buy(971)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(312)) --> (buy(1027)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(312)) --> (buy(1028)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(312)) --> (buy(1054)), {C=0.08955223880597014, S=0.0005836008170411438}
(buy(312)) --> (buy(1064)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(312)) --> (buy(1161)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(312)) --> (buy(1192)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(312)) --> (buy(1254)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(312)) --> (buy(1281)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(312)) --> (buy(1463)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(312)) --> (buy(1467)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(312)) --> (buy(1487)), {C=0.0746268656716418, S=0.00048633401420095323}
