(buy(617)) --> (buy(41)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(617)) --> (buy(47)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(617)) --> (buy(107)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(617)) --> (buy(128)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(617)) --> (buy(129)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(617)) --> (buy(144)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(617)) --> (buy(147)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(617)) --> (buy(207)), {C=0.08695652173913043, S=0.0005836008170411438}
(buy(617)) --> (buy(234)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(617)) --> (buy(369)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(617)) --> (buy(389)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(617)) --> (buy(419)), {C=0.08695652173913043, S=0.0005836008170411438}
(buy(617)) --> (buy(479)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(617)) --> (buy(519)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(617)) --> (buy(546)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(617)) --> (buy(567)), {C=0.08695652173913043, S=0.0005836008170411438}
(buy(617)) --> (buy(580)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(617)) --> (buy(627)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(617)) --> (buy(657)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(617)) --> (buy(800)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(617)) --> (buy(823)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(617)) --> (buy(827)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(617)) --> (buy(933)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(617)) --> (buy(956)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(617)) --> (buy(1013)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(617)) --> (buy(1059)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(617)) --> (buy(1064)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(617)) --> (buy(1161)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(617)) --> (buy(1166)), {C=0.08695652173913043, S=0.0005836008170411438}
(buy(617)) --> (buy(1182)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(617)) --> (buy(1251)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(617)) --> (buy(1266)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(617)) --> (buy(1295)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(617)) --> (buy(1377)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(617)) --> (buy(1414)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(617)) --> (buy(1416)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(617)) --> (buy(1452)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(617)) --> (buy(1476)), {C=0.07246376811594203, S=0.00048633401420095323}
