(buy(34)) --> (buy(281)), {C=0.09433962264150944, S=0.00048633401420095323}
(buy(34)) --> (buy(298)), {C=0.09433962264150944, S=0.00048633401420095323}
(buy(34)) --> (buy(339)), {C=0.09433962264150944, S=0.00048633401420095323}
(buy(34)) --> (buy(364)), {C=0.09433962264150944, S=0.00048633401420095323}
(buy(34)) --> (buy(480)), {C=0.11320754716981131, S=0.0005836008170411438}
(buy(34)) --> (buy(579)), {C=0.09433962264150944, S=0.00048633401420095323}
(buy(34)) --> (buy(610)), {C=0.09433962264150944, S=0.00048633401420095323}
(buy(34)) --> (buy(682)), {C=0.09433962264150944, S=0.00048633401420095323}
(buy(34)) --> (buy(683)), {C=0.09433962264150944, S=0.00048633401420095323}
(buy(34)) --> (buy(744)), {C=0.09433962264150944, S=0.00048633401420095323}
(buy(34)) --> (buy(789)), {C=0.11320754716981131, S=0.0005836008170411438}
(buy(34)) --> (buy(826)), {C=0.09433962264150944, S=0.00048633401420095323}
(buy(34)) --> (buy(855)), {C=0.09433962264150944, S=0.00048633401420095323}
(buy(34)) --> (buy(903)), {C=0.11320754716981131, S=0.0005836008170411438}
(buy(34)) --> (buy(917)), {C=0.09433962264150944, S=0.00048633401420095323}
(buy(34)) --> (buy(1016)), {C=0.09433962264150944, S=0.00048633401420095323}
(buy(34)) --> (buy(1053)), {C=0.09433962264150944, S=0.00048633401420095323}
(buy(34)) --> (buy(1222)), {C=0.1320754716981132, S=0.0006808676198813345}
(buy(34)) --> (buy(1498)), {C=0.09433962264150944, S=0.00048633401420095323}
