(buy(407)) --> (buy(332)), {C=0.07042253521126761, S=0.00048633401420095323}
(buy(407)) --> (buy(357)), {C=0.07042253521126761, S=0.00048633401420095323}
(buy(407)) --> (buy(363)), {C=0.07042253521126761, S=0.00048633401420095323}
(buy(407)) --> (buy(422)), {C=0.07042253521126761, S=0.00048633401420095323}
(buy(407)) --> (buy(533)), {C=0.07042253521126761, S=0.00048633401420095323}
(buy(407)) --> (buy(550)), {C=0.08450704225352113, S=0.0005836008170411438}
(buy(407)) --> (buy(620)), {C=0.07042253521126761, S=0.00048633401420095323}
(buy(407)) --> (buy(656)), {C=0.07042253521126761, S=0.00048633401420095323}
(buy(407)) --> (buy(746)), {C=0.08450704225352113, S=0.0005836008170411438}
(buy(407)) --> (buy(800)), {C=0.08450704225352113, S=0.0005836008170411438}
(buy(407)) --> (buy(883)), {C=0.07042253521126761, S=0.00048633401420095323}
(buy(407)) --> (buy(933)), {C=0.09859154929577464, S=0.0006808676198813345}
(buy(407)) --> (buy(950)), {C=0.08450704225352113, S=0.0005836008170411438}
(buy(407)) --> (buy(973)), {C=0.07042253521126761, S=0.00048633401420095323}
(buy(407)) --> (buy(1123)), {C=0.11267605633802819, S=0.0007781344227215252}
(buy(407)) --> (buy(1143)), {C=0.07042253521126761, S=0.00048633401420095323}
(buy(407)) --> (buy(1160)), {C=0.08450704225352113, S=0.0005836008170411438}
(buy(407)) --> (buy(1511)), {C=0.08450704225352113, S=0.0005836008170411438}
