(buy(1123)) --> (buy(83)), {C=0.07692307692307693, S=0.00048633401420095323}
(buy(1123)) --> (buy(255)), {C=0.0923076923076923, S=0.0005836008170411438}
(buy(1123)) --> (buy(303)), {C=0.07692307692307693, S=0.00048633401420095323}
(buy(1123)) --> (buy(358)), {C=0.07692307692307693, S=0.00048633401420095323}
(buy(1123)) --> (buy(360)), {C=0.07692307692307693, S=0.00048633401420095323}
(buy(1123)) --> (buy(407)), {C=0.12307692307692308, S=0.0007781344227215252}
(buy(1123)) --> (buy(480)), {C=0.0923076923076923, S=0.0005836008170411438}
(buy(1123)) --> (buy(501)), {C=0.07692307692307693, S=0.00048633401420095323}
(buy(1123)) --> (buy(597)), {C=0.07692307692307693, S=0.00048633401420095323}
(buy(1123)) --> (buy(718)), {C=0.07692307692307693, S=0.00048633401420095323}
(buy(1123)) --> (buy(973)), {C=0.07692307692307693, S=0.00048633401420095323}
(buy(1123)) --> (buy(1547)), {C=0.07692307692307693, S=0.00048633401420095323}
