(buy(1023)) --> (buy(147)), {C=0.0925925925925926, S=0.00048633401420095323}
(buy(1023)) --> (buy(223)), {C=0.0925925925925926, S=0.00048633401420095323}
(buy(1023)) --> (buy(414)), {C=0.0925925925925926, S=0.00048633401420095323}
(buy(1023)) --> (buy(691)), {C=0.0925925925925926, S=0.00048633401420095323}
(buy(1023)) --> (buy(856)), {C=0.0925925925925926, S=0.00048633401420095323}
(buy(1023)) --> (buy(900)), {C=0.0925925925925926, S=0.00048633401420095323}
(buy(1023)) --> (buy(1074)), {C=0.0925925925925926, S=0.00048633401420095323}
(buy(1023)) --> (buy(1174)), {C=0.0925925925925926, S=0.00048633401420095323}
(buy(1023)) --> (buy(1495)), {C=0.1111111111111111, S=0.0005836008170411438}
