(buy(1230)) --> (buy(28)), {C=0.09433962264150944, S=0.00048633401420095323}
(buy(1230)) --> (buy(65)), {C=0.09433962264150944, S=0.00048633401420095323}
(buy(1230)) --> (buy(304)), {C=0.09433962264150944, S=0.00048633401420095323}
(buy(1230)) --> (buy(344)), {C=0.09433962264150944, S=0.00048633401420095323}
(buy(1230)) --> (buy(415)), {C=0.09433962264150944, S=0.00048633401420095323}
(buy(1230)) --> (buy(427)), {C=0.09433962264150944, S=0.00048633401420095323}
(buy(1230)) --> (buy(481)), {C=0.11320754716981131, S=0.0005836008170411438}
(buy(1230)) --> (buy(546)), {C=0.09433962264150944, S=0.00048633401420095323}
(buy(1230)) --> (buy(548)), {C=0.09433962264150944, S=0.00048633401420095323}
(buy(1230)) --> (buy(1386)), {C=0.09433962264150944, S=0.00048633401420095323}
(buy(1230)) --> (buy(1441)), {C=0.09433962264150944, S=0.00048633401420095323}
(buy(1230)) --> (buy(1513)), {C=0.09433962264150944, S=0.00048633401420095323}
