(buy(228)) --> (buy(45)), {C=0.10344827586206895, S=0.0005836008170411438}
(buy(228)) --> (buy(206)), {C=0.08620689655172414, S=0.00048633401420095323}
(buy(228)) --> (buy(261)), {C=0.08620689655172414, S=0.00048633401420095323}
(buy(228)) --> (buy(432)), {C=0.08620689655172414, S=0.00048633401420095323}
(buy(228)) --> (buy(477)), {C=0.08620689655172414, S=0.00048633401420095323}
(buy(228)) --> (buy(551)), {C=0.08620689655172414, S=0.00048633401420095323}
(buy(228)) --> (buy(831)), {C=0.10344827586206895, S=0.0005836008170411438}
(buy(228)) --> (buy(844)), {C=0.08620689655172414, S=0.00048633401420095323}
(buy(228)) --> (buy(850)), {C=0.10344827586206895, S=0.0005836008170411438}
(buy(228)) --> (buy(955)), {C=0.08620689655172414, S=0.00048633401420095323}
(buy(228)) --> (buy(977)), {C=0.08620689655172414, S=0.00048633401420095323}
(buy(228)) --> (buy(1049)), {C=0.08620689655172414, S=0.00048633401420095323}
(buy(228)) --> (buy(1066)), {C=0.10344827586206895, S=0.0005836008170411438}
(buy(228)) --> (buy(1171)), {C=0.08620689655172414, S=0.00048633401420095323}
(buy(228)) --> (buy(1276)), {C=0.10344827586206895, S=0.0005836008170411438}
(buy(228)) --> (buy(1380)), {C=0.08620689655172414, S=0.00048633401420095323}
(buy(228)) --> (buy(1443)), {C=0.10344827586206895, S=0.0005836008170411438}
(buy(228)) --> (buy(1476)), {C=0.08620689655172414, S=0.00048633401420095323}
