(house_owner(Y))(buy(278)) --> (buy(138)), {C=0.0008069722401549387, S=0.00048633401420095323}
(house_owner(Y))(buy(278)) --> (buy(669)), {C=0.0009683666881859263, S=0.0005836008170411438}
(house_owner(Y))(buy(278)) --> (buy(761)), {C=0.0009683666881859263, S=0.0005836008170411438}
(house_owner(Y))(buy(278)) --> (buy(859)), {C=0.0008069722401549387, S=0.00048633401420095323}
(house_owner(Y))(buy(278)) --> (buy(914)), {C=0.0009683666881859263, S=0.0005836008170411438}
(house_owner(Y))(buy(278)) --> (buy(927)), {C=0.0008069722401549387, S=0.00048633401420095323}
(house_owner(Y))(buy(278)) --> (buy(929)), {C=0.0008069722401549387, S=0.00048633401420095323}
(house_owner(Y))(buy(278)) --> (buy(1249)), {C=0.0008069722401549387, S=0.00048633401420095323}
(house_owner(Y))(buy(278)) --> (buy(1420)), {C=0.0008069722401549387, S=0.00048633401420095323}
